epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.235,2.52427,3.09292,0.03525,0.51015,0.43923,0.47963,0.2373,1.69687,1.8757,0.02805,0.000664242,0.000664242,0.000664242
2,203.668,2.00005,2.24,0.0271,0.56943,0.51934,0.54224,0.29104,1.69305,2.10747,0.02664,0.00131444,0.00131444,0.00131444
3,297.593,1.90817,2.12091,0.02564,0.56985,0.48343,0.51951,0.24336,1.64745,1.78488,0.02439,0.00194814,0.00194814,0.00194814
4,391.268,1.86033,1.99112,0.02517,0.63353,0.55801,0.58669,0.31582,1.54662,1.85933,0.02247,0.00192575,0.00192575,0.00192575
5,485.11,1.75686,1.86815,0.02361,0.64386,0.52937,0.58413,0.33987,1.48132,1.60013,0.02135,0.001901,0.001901,0.001901
6,578.903,1.67217,1.70245,0.02161,0.74057,0.56777,0.65701,0.33654,1.58534,1.38198,0.02413,0.00187625,0.00187625,0.00187625
7,672.28,1.69443,1.66382,0.02261,0.71335,0.56077,0.66772,0.41464,1.52501,1.40751,0.02311,0.0018515,0.0018515,0.0018515
8,765.823,1.62051,1.61895,0.02098,0.75571,0.59819,0.68656,0.41665,1.41083,1.36655,0.02156,0.00182675,0.00182675,0.00182675
9,859.307,1.63272,1.55547,0.0212,0.78033,0.51934,0.66607,0.42406,1.3639,1.33535,0.02042,0.001802,0.001802,0.001802
10,952.68,1.56743,1.49361,0.01991,0.80444,0.62155,0.71204,0.41991,1.39988,1.38375,0.01982,0.00177725,0.00177725,0.00177725
11,1045.95,1.52614,1.47287,0.01943,0.78845,0.62431,0.75668,0.47259,1.32914,1.22359,0.01905,0.0017525,0.0017525,0.0017525
12,1139.72,1.50166,1.38127,0.01939,0.75625,0.60851,0.71953,0.45814,1.33725,1.23987,0.02018,0.00172775,0.00172775,0.00172775
13,1232.71,1.46011,1.3327,0.01855,0.78441,0.68508,0.75806,0.48929,1.32526,1.05748,0.01963,0.001703,0.001703,0.001703
14,1326.25,1.44446,1.25984,0.01817,0.79265,0.6768,0.76895,0.52131,1.24575,1.10063,0.01873,0.00167825,0.00167825,0.00167825
15,1420.4,1.37629,1.22861,0.01701,0.72393,0.73204,0.78202,0.52589,1.2793,0.95855,0.01873,0.0016535,0.0016535,0.0016535
16,1513.89,1.37443,1.16489,0.01715,0.85107,0.70442,0.8003,0.53525,1.23453,0.91816,0.0189,0.00162875,0.00162875,0.00162875
17,1607.5,1.38013,1.14931,0.01715,0.78976,0.66298,0.78325,0.52596,1.25638,0.95751,0.01792,0.001604,0.001604,0.001604
18,1700.25,1.34478,1.12064,0.0165,0.80818,0.74309,0.82208,0.54057,1.276,0.90151,0.01857,0.00157925,0.00157925,0.00157925
19,1793.87,1.33631,1.09962,0.0157,0.81596,0.76796,0.83887,0.57864,1.15013,0.83643,0.01647,0.0015545,0.0015545,0.0015545
20,1886.98,1.30645,1.07015,0.0159,0.80745,0.74033,0.82616,0.58183,1.18575,0.84622,0.01755,0.00152975,0.00152975,0.00152975
21,1980.18,1.27772,1.06362,0.01529,0.79614,0.73361,0.79556,0.56404,1.13115,0.94396,0.0164,0.001505,0.001505,0.001505
22,2073.26,1.26675,1.03614,0.01546,0.85933,0.77628,0.84873,0.56965,1.19839,0.8056,0.01646,0.00148025,0.00148025,0.00148025
23,2166.49,1.27499,1.0098,0.01513,0.8646,0.77901,0.85301,0.60822,1.09899,0.72684,0.01535,0.0014555,0.0014555,0.0014555
24,2259.85,1.23828,0.96018,0.01494,0.82321,0.78453,0.84244,0.59847,1.09477,0.80726,0.01517,0.00143075,0.00143075,0.00143075
25,2352.81,1.23726,0.96025,0.0149,0.80307,0.75138,0.83623,0.59686,1.11923,0.80787,0.01591,0.001406,0.001406,0.001406
26,2445.68,1.22627,0.94838,0.01468,0.87494,0.6989,0.81473,0.57384,1.11405,0.86073,0.01552,0.00138125,0.00138125,0.00138125
27,2538.81,1.23292,0.98057,0.01467,0.87052,0.72652,0.82457,0.58928,1.11027,0.85902,0.01582,0.0013565,0.0013565,0.0013565
28,2631.74,1.20472,0.91323,0.01404,0.91401,0.74586,0.84619,0.61038,1.14348,0.74913,0.01651,0.00133175,0.00133175,0.00133175
29,2725.06,1.17177,0.88713,0.01355,0.82515,0.80663,0.86729,0.62363,1.11557,0.71496,0.01566,0.001307,0.001307,0.001307
30,2818.52,1.21203,0.90569,0.01406,0.82408,0.74586,0.85114,0.60239,1.11564,0.73069,0.0155,0.00128225,0.00128225,0.00128225
31,2911.57,1.18108,0.92441,0.01362,0.88271,0.77901,0.87446,0.62583,1.11556,0.68345,0.0161,0.0012575,0.0012575,0.0012575
32,3004.96,1.18037,0.85866,0.01378,0.83252,0.81215,0.8604,0.61528,1.14532,0.7173,0.01599,0.00123275,0.00123275,0.00123275
33,3097.69,1.19942,0.89846,0.01415,0.86624,0.80387,0.86533,0.61991,1.1324,0.68556,0.01588,0.001208,0.001208,0.001208
34,3190.7,1.15545,0.85037,0.01354,0.83984,0.82566,0.86851,0.62122,1.15838,0.67727,0.01658,0.00118325,0.00118325,0.00118325
35,3284.67,1.18029,0.85691,0.01358,0.87432,0.80939,0.87905,0.64708,1.08704,0.6088,0.01573,0.0011585,0.0011585,0.0011585
36,3378.54,1.13324,0.78071,0.01282,0.87784,0.79282,0.87035,0.62792,1.09366,0.68033,0.0152,0.00113375,0.00113375,0.00113375
37,3471.55,1.14713,0.84099,0.01324,0.89327,0.8011,0.87656,0.63787,1.09494,0.63348,0.01572,0.001109,0.001109,0.001109
38,3564.54,1.13178,0.79278,0.01255,0.85851,0.81768,0.87287,0.63963,1.08773,0.64678,0.01499,0.00108425,0.00108425,0.00108425
39,3657.4,1.12424,0.78079,0.0132,0.83499,0.82476,0.87504,0.61764,1.14386,0.65482,0.01663,0.0010595,0.0010595,0.0010595
40,3750.75,1.1183,0.79662,0.0127,0.89437,0.81865,0.88634,0.65144,1.05414,0.61228,0.01505,0.00103475,0.00103475,0.00103475
41,3844.04,1.10409,0.78173,0.01276,0.89689,0.81695,0.88839,0.65171,1.07931,0.61781,0.01522,0.00101,0.00101,0.00101
42,3937.67,1.10131,0.7623,0.0126,0.86863,0.83149,0.8891,0.66496,1.01543,0.57397,0.01439,0.00098525,0.00098525,0.00098525
43,4030.91,1.0929,0.76463,0.0125,0.85696,0.77787,0.87112,0.6445,1.07685,0.65863,0.01498,0.0009605,0.0009605,0.0009605
44,4124.38,1.08268,0.76201,0.01217,0.88608,0.81646,0.8803,0.64297,1.06981,0.58503,0.01515,0.00093575,0.00093575,0.00093575
45,4217.28,1.09163,0.74159,0.01223,0.86486,0.81319,0.88456,0.64977,1.03065,0.58817,0.0142,0.000911,0.000911,0.000911
46,4310.44,1.10155,0.7426,0.01235,0.87612,0.82597,0.88818,0.64083,1.07166,0.60963,0.01461,0.00088625,0.00088625,0.00088625
47,4403.35,1.10037,0.75695,0.0124,0.9039,0.80551,0.89618,0.66124,1.0461,0.60654,0.01414,0.0008615,0.0008615,0.0008615
48,4496.26,1.04925,0.69181,0.01181,0.86856,0.84807,0.89674,0.66066,1.03219,0.55811,0.01417,0.00083675,0.00083675,0.00083675
49,4589.08,1.06431,0.71483,0.01196,0.8572,0.83978,0.88467,0.64987,1.04757,0.60498,0.01453,0.000812,0.000812,0.000812
50,4682.02,1.03549,0.70615,0.01234,0.88585,0.81463,0.89432,0.65544,1.05419,0.59254,0.01391,0.00078725,0.00078725,0.00078725
51,4774.91,1.02522,0.6886,0.0112,0.88002,0.81044,0.88973,0.65606,1.00362,0.59548,0.01386,0.0007625,0.0007625,0.0007625
52,4867.98,1.02678,0.69595,0.01142,0.85076,0.83425,0.89037,0.65655,1.00333,0.5738,0.01396,0.00073775,0.00073775,0.00073775
